Date,Hour,NO2-ug-per-m3
2019-02-13,22,26
2019-02-13,23,23
2019-02-13,24,23
2019-02-14,01,21
2019-02-14,02,21
2019-02-14,03,23
2019-02-14,04,26
2019-02-14,05,30
2019-02-14,06,42
2019-02-14,07,50
2019-02-14,08,59
2019-02-14,09,53
2019-02-14,10,38
2019-02-14,11,36
2019-02-14,12,38
2019-02-14,13,32
2019-02-14,14,33
2019-02-14,15,38
2019-02-14,16,52
2019-02-14,17,66
2019-02-14,18,65
2019-02-14,19,66
2019-02-14,20,53
2019-02-14,21,52
2019-02-14,22,63
2019-02-14,23,70
2019-02-14,24,52
2019-02-15,01,41
2019-02-15,02,37
2019-02-15,03,35
2019-02-15,04,36
2019-02-15,05,51
2019-02-15,06,82
2019-02-15,1-1-07
2019-02-15,3-1-08
2019-02-15,6-1-09
2019-02-15,3-1-10
2019-02-15,1-1-11
2019-02-15,12,76
2019-02-15,13,74
2019-02-15,14,80
2019-02-15,15,77
2019-02-15,16,91
2019-02-15,1-1-17
2019-02-15,4-1-18
2019-02-15,0-1-19
2019-02-15,20,91
2019-02-15,21,83
2019-02-15,22,81
2019-02-15,23,53
2019-02-15,24,53
2019-02-16,01,51
2019-02-16,02,44
2019-02-16,03,38
2019-02-16,04,39
2019-02-16,05,38
2019-02-16,06,39
2019-02-16,07,42
2019-02-16,08,40
2019-02-16,09,43
2019-02-16,10,42
2019-02-16,11,42
2019-02-16,12,38
2019-02-16,13,37
2019-02-16,14,37
2019-02-16,15,40
2019-02-16,16,42
2019-02-16,17,42
2019-02-16,18,50
2019-02-16,19,47
2019-02-16,20,40
2019-02-16,21,35
2019-02-16,22,30
2019-02-16,23,22
2019-02-16,24,25
2019-02-17,01,25
2019-02-17,02,21
2019-02-17,03,20
2019-02-17,04,19
2019-02-17,05,23
2019-02-17,06,20
2019-02-17,07,22
2019-02-17,08,36
2019-02-17,09,51
2019-02-17,10,39
2019-02-17,11,32
2019-02-17,12,38
2019-02-17,13,41
2019-02-17,14,33
2019-02-17,15,33
2019-02-17,16,52
2019-02-17,17,89
2019-02-17,8-1-18
2019-02-17,3-1-19
2019-02-17,20,86
2019-02-17,21,54
2019-02-17,22,47
2019-02-17,23,37
2019-02-17,24,37
2019-02-18,01,33
2019-02-18,02,29
2019-02-18,03,30
2019-02-18,04,35
2019-02-18,05,45
2019-02-18,06,71
2019-02-18,07,93
2019-02-18,08,70
2019-02-18,09,81
2019-02-18,10,72
2019-02-18,11,63
2019-02-18,12,58
2019-02-18,13,51
2019-02-18,14,47
2019-02-18,15,41
2019-02-18,16,55
2019-02-18,17,91
2019-02-18,3-1-18
2019-02-18,6-1-19
2019-02-18,3-1-20
2019-02-18,21,87
2019-02-18,22,77
2019-02-18,23,67
2019-02-18,24,56
2019-02-19,01,50
2019-02-19,02,44
2019-02-19,03,39
2019-02-19,04,35
2019-02-19,05,30
2019-02-19,06,49
2019-02-19,07,49
2019-02-19,08,48
2019-02-19,09,43
2019-02-19,10,33
2019-02-19,11,29
2019-02-19,12,32
2019-02-19,13,31
2019-02-19,14,32
2019-02-19,15,37
2019-02-19,16,41
2019-02-19,17,49
2019-02-19,18,46
2019-02-19,19,49
2019-02-19,20,33
2019-02-19,21,23
2019-02-19,22,19
2019-02-19,23,16
2019-02-19,24,9
2019-02-20,01,7
2019-02-20,02,9
2019-02-20,03,10
2019-02-20,04,14
2019-02-20,05,23
2019-02-20,06,40
2019-02-20,07,54
2019-02-20,08,55
2019-02-20,09,65
2019-02-20,10,50
2019-02-20,11,35
2019-02-20,12,36
2019-02-20,13,39
2019-02-20,14,41
2019-02-20,15,41
2019-02-20,16,46
2019-02-20,17,56
2019-02-20,18,47
2019-02-20,19,44
2019-02-20,20,32
2019-02-20,21,31
2019-02-20,22,26
2019-02-20,23,23
2019-02-20,24,19
2019-02-21,01,13
2019-02-21,02,11
2019-02-21,03,10
2019-02-21,04,13
2019-02-21,05,22
2019-02-21,06,41
2019-02-21,07,44
2019-02-21,08,50
2019-02-21,09,53
2019-02-21,10,38
2019-02-21,11,35
2019-02-21,12,38
2019-02-21,13,38
2019-02-21,14,43
2019-02-21,15,51
2019-02-21,16,57
2019-02-21,17,59
2019-02-21,18,65
2019-02-21,19,56
2019-02-21,20,45
2019-02-21,21,41
2019-02-21,22,57
2019-02-21,23,52
2019-02-21,24,34
