Row,Number of vessels,Date,Hour
796,10,2019-02-03,4
797,11,2019-02-03,5
798,10,2019-02-03,6
799,10,2019-02-03,7
800,13,2019-02-03,8
801,12,2019-02-03,9
802,12,2019-02-03,10
803,8,2019-02-03,11
804,13,2019-02-03,12
805,9,2019-02-03,13
806,12,2019-02-03,14
807,9,2019-02-03,15
808,4,2019-02-03,16
809,2,2019-02-03,17
810,7,2019-02-03,18
811,7,2019-02-03,19
812,4,2019-02-03,20
813,3,2019-02-03,21
814,7,2019-02-03,22
815,10,2019-02-03,23
816,7,2019-02-04,0
817,10,2019-02-04,1
818,8,2019-02-04,2
819,8,2019-02-04,3
820,5,2019-02-04,4
821,6,2019-02-04,5
822,8,2019-02-04,6
823,9,2019-02-04,7
824,9,2019-02-04,8
825,5,2019-02-04,9
826,2,2019-02-04,10
827,5,2019-02-04,11
828,8,2019-02-04,12
829,5,2019-02-04,13
830,4,2019-02-04,14
831,5,2019-02-04,15
832,3,2019-02-04,16
833,5,2019-02-04,17
834,5,2019-02-04,18
835,4,2019-02-04,19
836,4,2019-02-04,20
837,4,2019-02-04,21
838,9,2019-02-04,22
839,6,2019-02-04,23
840,5,2019-02-05,0
841,2,2019-02-05,1
842,4,2019-02-05,2
843,5,2019-02-05,3
844,4,2019-02-05,4
845,7,2019-02-05,5
846,5,2019-02-05,6
847,8,2019-02-05,7
848,8,2019-02-05,8
849,7,2019-02-05,9
850,4,2019-02-05,10
851,4,2019-02-05,11
852,4,2019-02-05,12
853,7,2019-02-05,13
854,9,2019-02-05,14
855,7,2019-02-05,15
856,8,2019-02-05,16
857,6,2019-02-05,17
858,6,2019-02-05,18
859,6,2019-02-05,19
860,7,2019-02-05,20
861,7,2019-02-05,21
862,4,2019-02-05,22
863,5,2019-02-05,23
864,4,2019-02-06,0
865,4,2019-02-06,1
866,2,2019-02-06,2
867,5,2019-02-06,3
868,5,2019-02-06,4
869,4,2019-02-06,5
870,5,2019-02-06,6
871,5,2019-02-06,7
872,5,2019-02-06,8
873,7,2019-02-06,9
874,8,2019-02-06,10
875,3,2019-02-06,11
876,4,2019-02-06,12
877,2,2019-02-06,13
878,3,2019-02-06,14
879,4,2019-02-06,15
880,5,2019-02-06,16
881,5,2019-02-06,17
882,8,2019-02-06,18
883,7,2019-02-06,19
884,6,2019-02-06,20
885,6,2019-02-06,21
886,5,2019-02-06,22
887,4,2019-02-06,23
888,3,2019-02-07,0
889,3,2019-02-07,1
890,4,2019-02-07,2
891,5,2019-02-07,3
892,5,2019-02-07,4
893,7,2019-02-07,5
894,7,2019-02-07,6
895,5,2019-02-07,7
896,3,2019-02-07,8
897,2,2019-02-07,9
898,1,2019-02-07,10
899,3,2019-02-07,11
900,4,2019-02-07,12
901,5,2019-02-07,13
902,8,2019-02-07,14
903,6,2019-02-07,15
904,7,2019-02-07,16
905,3,2019-02-07,17
906,2,2019-02-07,18
907,0,2019-02-07,19
908,1,2019-02-07,20
909,0,2019-02-07,21
910,0,2019-02-07,22
911,0,2019-02-07,23
912,10,2019-02-08,0
913,9,2019-02-08,1
914,10,2019-02-08,2
915,7,2019-02-08,3
916,5,2019-02-08,4
917,3,2019-02-08,5
918,3,2019-02-08,6
919,6,2019-02-08,7
920,6,2019-02-08,8
921,6,2019-02-08,9
922,7,2019-02-08,10
923,9,2019-02-08,11
924,6,2019-02-08,12
925,8,2019-02-08,13
926,5,2019-02-08,14
927,2,2019-02-08,15
928,2,2019-02-08,16
929,4,2019-02-08,17
930,5,2019-02-08,18
931,6,2019-02-08,19
932,3,2019-02-08,20
933,3,2019-02-08,21
934,3,2019-02-08,22
935,2,2019-02-08,23
936,2,2019-02-09,0
937,4,2019-02-09,1
938,5,2019-02-09,2
939,7,2019-02-09,3
940,6,2019-02-09,4
941,4,2019-02-09,5
942,9,2019-02-09,6
943,11,2019-02-09,7
944,12,2019-02-09,8
945,17,2019-02-09,9
946,17,2019-02-09,10
947,13,2019-02-09,11
948,14,2019-02-09,12
949,14,2019-02-09,13
950,12,2019-02-09,14
951,11,2019-02-09,15
952,8,2019-02-09,16
953,6,2019-02-09,17
954,6,2019-02-09,18
955,3,2019-02-09,19
956,5,2019-02-09,20
957,8,2019-02-09,21
958,10,2019-02-09,22
959,11,2019-02-09,23
960,5,2019-02-10,0
961,3,2019-02-10,1
962,4,2019-02-10,2
963,6,2019-02-10,3
964,7,2019-02-10,4
965,3,2019-02-10,5
966,6,2019-02-10,6
967,7,2019-02-10,7
968,9,2019-02-10,8
969,6,2019-02-10,9
970,8,2019-02-10,10
971,6,2019-02-10,11
972,3,2019-02-10,12
973,6,2019-02-10,13
974,5,2019-02-10,14
975,7,2019-02-10,15
976,8,2019-02-10,16
977,8,2019-02-10,17
978,6,2019-02-10,18
979,4,2019-02-10,19
980,7,2019-02-10,20
981,9,2019-02-10,21
982,11,2019-02-10,22
983,10,2019-02-10,23
984,6,2019-02-11,0
985,9,2019-02-11,1
986,5,2019-02-11,2
987,2,2019-02-11,3
988,3,2019-02-11,4
989,6,2019-02-11,5
990,11,2019-02-11,6
991,8,2019-02-11,7
992,13,2019-02-11,8
993,9,2019-02-11,9
994,7,2019-02-11,10
995,7,2019-02-11,11
996,7,2019-02-11,12
997,8,2019-02-11,13
998,8,2019-02-11,14
999,8,2019-02-11,15
1000,6,2019-02-11,16
1001,6,2019-02-11,17
1002,9,2019-02-11,18
1003,8,2019-02-11,19
1004,7,2019-02-11,20
1005,5,2019-02-11,21
1006,8,2019-02-11,22
1007,6,2019-02-11,23
1008,8,2019-02-12,0
1009,7,2019-02-12,1
1010,5,2019-02-12,2
1011,2,2019-02-12,3
1012,2,2019-02-12,4
1013,2,2019-02-12,5
1014,1,2019-02-12,6
1015,4,2019-02-12,7
1016,6,2019-02-12,8
1017,8,2019-02-12,9
1018,7,2019-02-12,10
1019,3,2019-02-12,11
1020,3,2019-02-12,12
1021,5,2019-02-12,13
1022,6,2019-02-12,14
1023,7,2019-02-12,15
1024,7,2019-02-12,16
1025,7,2019-02-12,17
1026,6,2019-02-12,18
1027,4,2019-02-12,19
1028,4,2019-02-12,20
1029,4,2019-02-12,21
1030,7,2019-02-12,22
1031,8,2019-02-12,23
1032,9,2019-02-13,0
1033,6,2019-02-13,1
1034,8,2019-02-13,2
1035,8,2019-02-13,3
1036,4,2019-02-13,4
1037,0,2019-02-13,5
1038,3,2019-02-13,6
1039,7,2019-02-13,7
1040,7,2019-02-13,8
1041,10,2019-02-13,9
1042,8,2019-02-13,10
1043,5,2019-02-13,11
1044,3,2019-02-13,12
1045,4,2019-02-13,13
1046,3,2019-02-13,14
1047,4,2019-02-13,15
1048,7,2019-02-13,16
1049,7,2019-02-13,17
1050,7,2019-02-13,18
1051,6,2019-02-13,19
1052,3,2019-02-13,20
1053,3,2019-02-13,21
1054,2,2019-02-13,22
1055,6,2019-02-13,23
1056,3,2019-02-14,0
1057,3,2019-02-14,1
1058,3,2019-02-14,2
